Date,Price,Open,High,Low,Vol.,Market Cap
27-09-2024,65762.47,65107.96,66380.99,64850.01,1.14E+11,1.30E+12
26-09-2024,65142.08,63140.63,65616.04,62792.05,1.04E+11,1.27E+12
25-09-2024,63165.61,64208.02,64669.95,62957.27,1.04E+11,1.26E+12
24-09-2024,64335.62,63346.7,64587.13,62752.04,1.03E+11,1.25E+12
23-09-2024,63332.69,63467.95,64644.96,62842.02,1.08E+11,1.26E+12
22-09-2024,63575.97,63359.99,63868.07,62476.04,84841750994,1.24E+12
21-09-2024,63389.92,63112.9,63519.41,62823.98,94051059382,1.25E+12
20-09-2024,63102.03,62935.88,64053.96,62400.04,1.16E+11,1.25E+12
19-09-2024,62953.98,61831.96,63819.92,61592,1.27E+11,1.24E+12
18-09-2024,61449.14,60313.98,61449.14,59216.01,1.10E+11,1.19E+12
17-09-2024,60303.5,58267.94,61259.99,57620,1.02E+11,1.17E+12
16-09-2024,58229.2,59191.96,59191.96,57549.78,94703021875,1.15E+12
15-09-2024,59198.11,59999.98,60375.64,58855.95,77829620369,1.18E+12
14-09-2024,59987.93,60560.04,60590.1,59530.84,1.00E+11,1.19E+12
13-09-2024,60575.47,58153.97,60593.91,57688.82,1.01E+11,1.16E+12
12-09-2024,58116.05,57371.99,58514.55,57371.99,1.12E+11,1.15E+12
11-09-2024,57364.02,57600.01,57960.58,55588.99,1.08E+11,1.12E+12
10-09-2024,57627.99,56964.02,57984.81,56487.58,1.04E+11,1.13E+12
09-09-2024,57031.98,54777.01,57869.99,54624.95,95723896725,1.10E+12
08-09-2024,54823.96,54116.16,55228.47,53694.23,77973295409,1.07E+12
07-09-2024,54188.32,53976.04,54810.03,53767.28,1.21E+11,1.07E+12
06-09-2024,53922.68,56209.17,56896.3,52738,1.21E+11,1.09E+12
05-09-2024,56170.04,58006.56,58284.98,55835,1.16E+11,1.12E+12
04-09-2024,57984.05,57644.03,58489.96,55737.91,1.19E+11,1.13E+12
